window_idx,window_text,window_start,window_end,event
52,point uh i have them meet a snake oil salesman who offers to sell them an elixir that will make them stronger and faster and get to oregon city quicker and something you need to know about nine year olds a lot of them pretty much all of them dont know what snake oil salesmen,1092,1147,22
53,stronger and faster and get to oregon city quicker and something you need to know about nine year olds a lot of them pretty much all of them dont know what snake oil salesmen are i say this to you and you know this is shorthand for like a con man right but to them,1113,1168,23
54,of them pretty much all of them dont know what snake oil salesmen are i say this to you and you know this is shorthand for like a con man right but to them it just someone else they dont know about like taxes like that it just a thing like a grown up thing,1134,1189,23
55,know this is shorthand for like a con man right but to them it just someone else they dont know about like taxes like that it just a thing like a grown up thing okay snake oil salesman so they decide to buy the elixir cause they wanna go get there faster so we roll,1155,1210,23
56,like taxes like that it just a thing like a grown up thing okay snake oil salesman so they decide to buy the elixir cause they wanna go get there faster so we roll to see how much stronger and faster they got and of course we all know the answer is none faster uh,1176,1231,24
57,buy the elixir cause they wanna go get there faster so we roll to see how much stronger and faster they got and of course we all know the answer is none faster uh it snake oil so i tell them um actually that was a con you are throwing up for a day you,1197,1252,24
58,got and of course we all know the answer is none faster uh it snake oil so i tell them um actually that was a con you are throwing up for a day you lose a day of travel and i think theyre gonna be really annoyed that they got slowed down but they are,1218,1273,24
59,actually that was a con you are throwing up for a day you lose a day of travel and i think theyre gonna be really annoyed that they got slowed down but they are psyched they got to throw up in social studies theyre talking about it for days my game is a hit the,1239,1294,25
60,theyre gonna be really annoyed that they got slowed down but they are psyched they got to throw up in social studies theyre talking about it for days my game is a hit the problem is every day before we start someone says to me is someone gonna die today is someone gonna die today,1260,1315,25
61,studies theyre talking about it for days my game is a hit the problem is every day before we start someone says to me is someone gonna die today is someone gonna die today and ive been putting them off and putting them off but my game is going so well and were getting towards,1281,1336,25
62,says to me is someone gonna die today is someone gonna die today and ive been putting them off and putting them off but my game is going so well and were getting towards the rockies and i figure you know what im gonna give them just a brush with death so i write i,1302,1357,25
63,them off but my game is going so well and were getting towards the rockies and i figure you know what im gonna give them just a brush with death so i write i write out a bunch of possibilities for that day and um the next time someone asks me is someone gonna die,1323,1378,26
64,im gonna give them just a brush with death so i write i write out a bunch of possibilities for that day and um the next time someone asks me is someone gonna die today i say we have been lucky thus far but the rockies lie ahead the most treacherous part of our journey,1344,1399,26
65,day and um the next time someone asks me is someone gonna die today i say we have been lucky thus far but the rockies lie ahead the most treacherous part of our journey who knows what might happen so i put on the bonnet and that what i did i loved that action and,1365,1420,27
66,far but the rockies lie ahead the most treacherous part of our journey who knows what might happen so i put on the bonnet and that what i did i loved that action and i set the scene for the morning in the early morning light on a rocky mountain pass a wagon hits a,1386,1441,28
67,on the bonnet and that what i did i loved that action and i set the scene for the morning in the early morning light on a rocky mountain pass a wagon hits a rock and is overturned someone is trapped beneath the wagon let us roll to find out who it is im not,1407,1462,29
68,the early morning light on a rocky mountain pass a wagon hits a rock and is overturned someone is trapped beneath the wagon let us roll to find out who it is im not proud of this i take off the bonnet and we have like a system of rules to figure out different kids,1428,1483,29
69,the wagon let us roll to find out who it is im not proud of this i take off the bonnet and we have like a system of rules to figure out different kids have different numbers and i roll and it this little girl katie i know her oregon trail name is katherine chubbuck,1449,1504,30
70,and we have like a system of rules to figure out different kids have different numbers and i roll and it this little girl katie i know her oregon trail name is katherine chubbuck she a farmer she one of these kids who always has really messy hair and sounds like she been smoking since,1470,1525,30
71,this little girl katie i know her oregon trail name is katherine chubbuck she a farmer she one of these kids who always has really messy hair and sounds like she been smoking since she was three and she has to come to the front of the class and i say katherine chubbuck your legs,1491,1546,31
72,who always has really messy hair and sounds like she been smoking since she was three and she has to come to the front of the class and i say katherine chubbuck your legs have been trapped beneath the wagon roll to find out if you get free and what happens and she rolls and,1512,1567,32
73,to the front of the class and i say katherine chubbuck your legs have been trapped beneath the wagon roll to find out if you get free and what happens and she rolls and she gets free but her legs have been infected i wrote these possibilities and this is the first time im thinking,1533,1588,32
74,find out if you get free and what happens and she rolls and she gets free but her legs have been infected i wrote these possibilities and this is the first time im thinking why did i write that possibility this is getting really dark and i say katherine chubbuck roll to find out if,1554,1609,32
75,infected i wrote these possibilities and this is the first time im thinking why did i write that possibility this is getting really dark and i say katherine chubbuck roll to find out if your infection gets better or worse and she rolls and it gets worse and she looks at me and just goes,1575,1630,32
76,getting really dark and i say katherine chubbuck roll to find out if your infection gets better or worse and she rolls and it gets worse and she looks at me and just goes did i die and as soon as she says it i realize how much trouble i am in i havent written,1596,1651,32
77,rolls and it gets worse and she looks at me and just goes did i die and as soon as she says it i realize how much trouble i am in i havent written any more possibilities i didnt think we would get this far so what happens next do we have a funeral on,1617,1672,33
78,says it i realize how much trouble i am in i havent written any more possibilities i didnt think we would get this far so what happens next do we have a funeral on the side of the oregon trail for katherine chubbuck is that the parent phone call that i get for having traumatized,1638,1693,33
79,get this far so what happens next do we have a funeral on the side of the oregon trail for katherine chubbuck is that the parent phone call that i get for having traumatized a girl for killing her on the oregon trail bad teachers kill kids on the oregon trail and i am not,1659,1714,34
80,chubbuck is that the parent phone call that i get for having traumatized a girl for killing her on the oregon trail bad teachers kill kids on the oregon trail and i am not a bad teacher or so i thought this is all the stuff that happening in my head im thinking so much,1680,1735,34
81,trail bad teachers kill kids on the oregon trail and i am not a bad teacher or so i thought this is all the stuff that happening in my head im thinking so much about it a lot of it is very existential and then all of a sudden from the back of the class,1701,1756,35
82,is all the stuff that happening in my head im thinking so much about it a lot of it is very existential and then all of a sudden from the back of the class this little girl ellis whose oregon trail name is dr ellis chapman just goes wait im a doctor and im like,1722,1777,35
83,existential and then all of a sudden from the back of the class this little girl ellis whose oregon trail name is dr ellis chapman just goes wait im a doctor and im like thank the lord dr chapman brings her doctor bag she knows how to heal the wound ellis chapman comes up to,1743,1798,35
84,is dr ellis chapman just goes wait im a doctor and im like thank the lord dr chapman brings her doctor bag she knows how to heal the wound ellis chapman comes up to the front of the room i say the only way you roll to find out what happens the only way you,1764,1819,35
85,bag she knows how to heal the wound ellis chapman comes up to the front of the room i say the only way you roll to find out what happens the only way you die is if you roll a six that the only way you die the class is holding their breath as katie,1785,1840,36
86,only way you roll to find out what happens the only way you die is if you roll a six that the only way you die the class is holding their breath as katie rolls she does the lucky like shake thing and then someone just goes shake them again she shakes and she rolls,1806,1861,37
87,the only way you die the class is holding their breath as katie rolls she does the lucky like shake thing and then someone just goes shake them again she shakes and she rolls and it a three and she survives i know i know in my class it like the end of apollo thirteen,1827,1882,37
88,and then someone just goes shake them again she shakes and she rolls and it a three and she survives i know i know in my class it like the end of apollo thirteen kids are throwing papers in the air and like hugging each other and ellis is hugging katie and katie just going,1848,1903,38
89,know i know in my class it like the end of apollo thirteen kids are throwing papers in the air and like hugging each other and ellis is hugging katie and katie just going i almost died i almost died and i am so glad we agreed to bring a doctor on the oregon trail,1869,1924,38
90,like hugging each other and ellis is hugging katie and katie just going i almost died i almost died and i am so glad we agreed to bring a doctor on the oregon trail with us she couldnt hunt but she was very useful and the problem is so that was great the problem is,1890,1945,38
91,am so glad we agreed to bring a doctor on the oregon trail with us she couldnt hunt but she was very useful and the problem is so that was great the problem is we still have seven hundred and twenty miles to oregon city and im exhausted i cant remember a time before we,1911,1966,39
92,very useful and the problem is so that was great the problem is we still have seven hundred and twenty miles to oregon city and im exhausted i cant remember a time before we were walking the oregon trail and the next day you know i had all the stuff planned and the next day,1932,1987,40
93,to oregon city and im exhausted i cant remember a time before we were walking the oregon trail and the next day you know i had all the stuff planned and the next day i get to class i put my bonnet on i tell them we hear animal noises in the bushes and alex,1953,2008,40
94,day you know i had all the stuff planned and the next day i get to class i put my bonnet on i tell them we hear animal noises in the bushes and alex bacon is right on it he goes is it wild animals are we in danger and he says it and i,1974,2029,40
95,on i tell them we hear animal noises in the bushes and alex bacon is right on it he goes is it wild animals are we in danger and he says it and i realize they love the danger im the one who doesnt want the danger and i throw my plan out the window,1995,2050,41
96,it wild animals are we in danger and he says it and i realize they love the danger im the one who doesnt want the danger and i throw my plan out the window it was wild animals and we were in danger actually but i forget about that i say no it is a,2016,2071,41
97,who doesnt want the danger and i throw my plan out the window it was wild animals and we were in danger actually but i forget about that i say no it is a baby animal with a broken leg who we must adopt for the rest of the trip and they all do the,2037,2092,41
98,danger actually but i forget about that i say no it is a baby animal with a broken leg who we must adopt for the rest of the trip and they all do the thirdgrade baby animal noise which is aw and i say let us roll to find out what species of baby animal,2058,2113,42
99,must adopt for the rest of the trip and they all do the thirdgrade baby animal noise which is aw and i say let us roll to find out what species of baby animal we will be adopting is it a baby bunny a baby fox or a baby wolf it a baby wolf they,2079,2134,42
100,i say let us roll to find out what species of baby animal we will be adopting is it a baby bunny a baby fox or a baby wolf it a baby wolf they name him yenny the benny they love him very much and he follows us all the way to oregon and we,2100,2155,43
101,bunny a baby fox or a baby wolf it a baby wolf they name him yenny the benny they love him very much and he follows us all the way to oregon and we get to oregon in record time i mean forget pioneers walking this is amazon prime two day shipping to get to,2121,2176,43
102,very much and he follows us all the way to oregon and we get to oregon in record time i mean forget pioneers walking this is amazon prime two day shipping to get to oregon city nothing bad happens between the rockies and oregon city and when we get there we do we homestead and,2142,2197,44
103,forget pioneers walking this is amazon prime two day shipping to get to oregon city nothing bad happens between the rockies and oregon city and when we get there we do we homestead and we do our budget so we do all that stuff but we also make cornbread and we have a dance party,2163,2218,44
104,and oregon city and when we get there we do we homestead and we do our budget so we do all that stuff but we also make cornbread and we have a dance party to september by earth wind and fire which is not historically accurate but that is the kind of oregon trail i,2184,2239,45
105,that stuff but we also make cornbread and we have a dance party to september by earth wind and fire which is not historically accurate but that is the kind of oregon trail i wanna be on at that point so that the oregon trail but i have to tell you guys about a year,2205,2260,45
106,is not historically accurate but that is the kind of oregon trail i wanna be on at that point so that the oregon trail but i have to tell you guys about a year ago i ran into katie on the street on broadway and she in ninth grade now she looks exactly the same,2226,2281,45
107,the oregon trail but i have to tell you guys about a year ago i ran into katie on the street on broadway and she in ninth grade now she looks exactly the same except that she been stretched you know and i recognized her right away and she recognized me and we hugged and,2247,2302,46
108,on broadway and she in ninth grade now she looks exactly the same except that she been stretched you know and i recognized her right away and she recognized me and we hugged and i said how are you and she said and the first thing she said to me was do you remember when,2268,2323,46
109,i recognized her right away and she recognized me and we hugged and i said how are you and she said and the first thing she said to me was do you remember when i almost died on the oregon trail and i said yeah katie i absolutely remember,2289,2338,47
110,and the first thing she said to me was do you remember when i almost died on the oregon trail and i said yeah katie i absolutely remember,2310,2338,47
111,i said yeah katie i absolutely remember,2331,2338,48
