window_idx,window_text,window_start,window_end,event
64,sand we break my aunt pat last nerve and she says alright you can go in the water but only up to your knees so were happy for a minute until we get in the water and realize how boring up to your knees is and then we get the great plan of having chicken,1344,1399,26
65,to your knees so were happy for a minute until we get in the water and realize how boring up to your knees is and then we get the great plan of having chicken fights so we start to have chicken fights but it kinda weird because there only three of us but were doing,1365,1420,26
66,your knees is and then we get the great plan of having chicken fights so we start to have chicken fights but it kinda weird because there only three of us but were doing the best we can to have a chicken fight like that and like knock each other off into the water so,1386,1441,26
67,but it kinda weird because there only three of us but were doing the best we can to have a chicken fight like that and like knock each other off into the water so we get fully immersed and then my uncle al who never ever played with us ever comes into the water to,1407,1462,27
68,fight like that and like knock each other off into the water so we get fully immersed and then my uncle al who never ever played with us ever comes into the water to play chicken fights with us and he puts his daughter my cousin ilene up on his shoulders and then i get,1428,1483,27
69,al who never ever played with us ever comes into the water to play chicken fights with us and he puts his daughter my cousin ilene up on his shoulders and then i get up on my cousin kevin shoulders and were having chicken fights and it like actual family fun for a moment and,1449,1504,28
70,his daughter my cousin ilene up on his shoulders and then i get up on my cousin kevin shoulders and were having chicken fights and it like actual family fun for a moment and were like you know hitting each other falling in the water and then i take my foot and i accidentally kick,1470,1525,28
71,having chicken fights and it like actual family fun for a moment and were like you know hitting each other falling in the water and then i take my foot and i accidentally kick the side of my uncle al head really really hard and his eyeball pops out of his head falls into the,1491,1546,28
72,in the water and then i take my foot and i accidentally kick the side of my uncle al head really really hard and his eyeball pops out of his head falls into the water and sinks it pops out of his head and it sinks ilene kevin and i are in instant complete shock,1512,1567,29
73,really hard and his eyeball pops out of his head falls into the water and sinks it pops out of his head and it sinks ilene kevin and i are in instant complete shock right this minute there is still a part of me that is on that beach screaming it like oh my god,1533,1588,29
74,head and it sinks ilene kevin and i are in instant complete shock right this minute there is still a part of me that is on that beach screaming it like oh my god we had no idea that he had a fake eye we didnt even know that you could have a fake eye,1554,1609,29
75,of me that is on that beach screaming it like oh my god we had no idea that he had a fake eye we didnt even know that you could have a fake eye why would you have a fake eye they didnt tell us that uncle al had a fake eye cause they didnt,1575,1630,30
76,fake eye we didnt even know that you could have a fake eye why would you have a fake eye they didnt tell us that uncle al had a fake eye cause they didnt want us blabbing it to the whole neighborhood so they didnt tell us so we didnt know and like later on,1596,1651,30
77,didnt tell us that uncle al had a fake eye cause they didnt want us blabbing it to the whole neighborhood so they didnt tell us so we didnt know and like later on you know there was columbo and sandy duncan but this was way before that we had no idea so were all,1617,1672,30
78,so they didnt tell us so we didnt know and like later on you know there was columbo and sandy duncan but this was way before that we had no idea so were all standing there and it like so horrible like i cant even like im like oh my god and my cousins ilene,1638,1693,31
79,but this was way before that we had no idea so were all standing there and it like so horrible like i cant even like im like oh my god and my cousins ilene and kevin are staring at me with complete hate like you broke our dad and my uncle al is standing there,1659,1714,32
80,i cant even like im like oh my god and my cousins ilene and kevin are staring at me with complete hate like you broke our dad and my uncle al is standing there and he got the lid open so you can like see inside the socket where now it just like skin and,1680,1735,32
81,hate like you broke our dad and my uncle al is standing there and he got the lid open so you can like see inside the socket where now it just like skin and the eyeball gone and like you cannot just say im sorry to someone that you just so i dont know what,1701,1756,32
82,can like see inside the socket where now it just like skin and the eyeball gone and like you cannot just say im sorry to someone that you just so i dont know what to do and my aunt pat is hysterically screaming because that eyeball cost top dollar it was a special magnetized eye,1722,1777,33
83,say im sorry to someone that you just so i dont know what to do and my aunt pat is hysterically screaming because that eyeball cost top dollar it was a special magnetized eye so it could keep up with the other one and now i had just better pray that vacation was over and,1743,1798,33
84,screaming because that eyeball cost top dollar it was a special magnetized eye so it could keep up with the other one and now i had just better pray that vacation was over and that they got that deposit back because now they were gonna have to buy a brand new top dollar eye that,1764,1819,34
85,one and now i had just better pray that vacation was over and that they got that deposit back because now they were gonna have to buy a brand new top dollar eye that was not in the budget so i just didnt know what to do i was like my life is over i,1785,1840,34
86,they were gonna have to buy a brand new top dollar eye that was not in the budget so i just didnt know what to do i was like my life is over i am no longer mikayla i am now merce girl who kicked al eye out in the cape and it awful and,1806,1861,35
87,didnt know what to do i was like my life is over i am no longer mikayla i am now merce girl who kicked al eye out in the cape and it awful and everybody just crying and pointing at me and now my other aunts are getting in on it like in whotheblamepart of,1827,1882,35
88,girl who kicked al eye out in the cape and it awful and everybody just crying and pointing at me and now my other aunts are getting in on it like in whotheblamepart of the conversation happening so i just kind of back off into the water im kinda like going back and like regressing,1848,1903,35
89,now my other aunts are getting in on it like in whotheblamepart of the conversation happening so i just kind of back off into the water im kinda like going back and like regressing back to like where life as i once knew it had ended and i just stand there and like i kinda,1869,1924,36
90,back off into the water im kinda like going back and like regressing back to like where life as i once knew it had ended and i just stand there and like i kinda wish i had drowned and i kinda wish the kennedys hadnt saved me and i bent off and into the waves,1890,1945,36
91,knew it had ended and i just stand there and like i kinda wish i had drowned and i kinda wish the kennedys hadnt saved me and i bent off and into the waves and i just i just start like sifting through sand and shells and pebbles and it totally ridiculous but like i,1911,1966,36
92,the kennedys hadnt saved me and i bent off and into the waves and i just i just start like sifting through sand and shells and pebbles and it totally ridiculous but like i will never stop looking for this eye i am gonna look forever and i keep looking and looking and im sifting,1932,1987,37
93,through sand and shells and pebbles and it totally ridiculous but like i will never stop looking for this eye i am gonna look forever and i keep looking and looking and im sifting through and then all of a sudden there is an eyeball in my palm staring right at me and so i,1953,2008,37
94,am gonna look forever and i keep looking and looking and im sifting through and then all of a sudden there is an eyeball in my palm staring right at me and so i scream and i drop it back and it sinks back into the water but now we know it possible so everybody,1974,2029,37
95,is an eyeball in my palm staring right at me and so i scream and i drop it back and it sinks back into the water but now we know it possible so everybody gets back into the water and now were all sifting through and sifting through and i pray to god for no,1995,2050,38
96,sinks back into the water but now we know it possible so everybody gets back into the water and now were all sifting through and sifting through and i pray to god for no more future happiness until we find this eye and i also kinda pray that it not be me the one that,2016,2071,38
97,all sifting through and sifting through and i pray to god for no more future happiness until we find this eye and i also kinda pray that it not be me the one that finds it this time so after like an hour my cousin kevin finds the eye and he holds it up in,2037,2092,39
98,and i also kinda pray that it not be me the one that finds it this time so after like an hour my cousin kevin finds the eye and he holds it up in triumph and he does not let go and my uncle al takes the eye he like washes it off and just,2058,2113,39
99,hour my cousin kevin finds the eye and he holds it up in triumph and he does not let go and my uncle al takes the eye he like washes it off and just pops it back in and then he kinda like tests it you know and it like keeping up with the other,2079,2134,39
100,my uncle al takes the eye he like washes it off and just pops it back in and then he kinda like tests it you know and it like keeping up with the other one so it working still and now it the weirdest thing because now we know it a fake eye and now,2100,2155,40
101,like tests it you know and it like keeping up with the other one so it working still and now it the weirdest thing because now we know it a fake eye and now that you know it a fake eye it totally looks like a fake eye and i cant believe that i never,2121,2176,40
102,the weirdest thing because now we know it a fake eye and now that you know it a fake eye it totally looks like a fake eye and i cant believe that i never noticed it wasnt a fake eye before so now vacation back on and so everybody gets back in their beach chairs,2142,2197,41
103,totally looks like a fake eye and i cant believe that i never noticed it wasnt a fake eye before so now vacation back on and so everybody gets back in their beach chairs and they start to settle down to begin telling the story over and over like a million times about what i,2163,2218,41
104,now vacation back on and so everybody gets back in their beach chairs and they start to settle down to begin telling the story over and over like a million times about what i just did and i have not really fully reintegrated back into the family yet im kind of standing apart and i,2184,2239,42
105,telling the story over and over like a million times about what i just did and i have not really fully reintegrated back into the family yet im kind of standing apart and i notice that there actually has been like kind of a group of people who have been watching this whole thing and,2205,2260,42
106,reintegrated back into the family yet im kind of standing apart and i notice that there actually has been like kind of a group of people who have been watching this whole thing and then i see something that i didnt notice that no one noticed and that that two of the kennedy kids david,2226,2281,43
107,of a group of people who have been watching this whole thing and then i see something that i didnt notice that no one noticed and that that two of the kennedy kids david and michael had taken a walk on the beach and i can tell just by the look on thier faces that,2247,2302,43
108,that no one noticed and that that two of the kennedy kids david and michael had taken a walk on the beach and i can tell just by the look on thier faces that they had sit there and seen the entire episode that they had been there watching us,2268,2318,43
109,beach and i can tell just by the look on thier faces that they had sit there and seen the entire episode that they had been there watching us,2289,2318,44
110,episode that they had been there watching us,2310,2318,44
