window_idx,window_text,window_start,window_end,event
19,needed something im catholic latin just comes to me so i finish my story and i hand it to dwyer and he reads and he says pie man i love it page one and thats how the first line got crossed a few days later i get a letter it says dear jim good story,399,454,10
20,he reads and he says pie man i love it page one and thats how the first line got crossed a few days later i get a letter it says dear jim good story nice details if you want to see me again in action be on the steps of duane library tuesday at 3,420,475,11
21,few days later i get a letter it says dear jim good story nice details if you want to see me again in action be on the steps of duane library tuesday at 3 oclock signed pie man so i was there with a photographer from the ram and sure enough out comes sheila beale,441,496,11
22,again in action be on the steps of duane library tuesday at 3 oclock signed pie man so i was there with a photographer from the ram and sure enough out comes sheila beale studentbody president and now sheila was different from me and all the other fordham students who wore flannel shirts and worked,462,517,11
23,with a photographer from the ram and sure enough out comes sheila beale studentbody president and now sheila was different from me and all the other fordham students who wore flannel shirts and worked parttime jobs sheila was wellbred sheila had school spirit sheila was the kind of student that dean mcgown wanted more of,483,538,12
24,me and all the other fordham students who wore flannel shirts and worked parttime jobs sheila was wellbred sheila had school spirit sheila was the kind of student that dean mcgown wanted more of although rumor had it that he got plenty of her in his office on his desk but thats just a rumor,504,559,12
25,spirit sheila was the kind of student that dean mcgown wanted more of although rumor had it that he got plenty of her in his office on his desk but thats just a rumor please do not spread it outside this rumor i myself would never say that but the fact was sheila had collaborated,525,580,13
26,of her in his office on his desk but thats just a rumor please do not spread it outside this rumor i myself would never say that but the fact was sheila had collaborated with the dean to ban outdoor drinking on campus the infamous no more beer at barbecues rule thats right boo that,546,601,13
27,i myself would never say that but the fact was sheila had collaborated with the dean to ban outdoor drinking on campus the infamous no more beer at barbecues rule thats right boo that rule sheila thought drinking in public was in poor taste i think you know what happened next pie man emerged from,567,622,14
28,campus the infamous no more beer at barbecues rule thats right boo that rule sheila thought drinking in public was in poor taste i think you know what happened next pie man emerged from behind the latenight library dropbox made his delivery and fled away crying ego sum non an bestia or at least thats,588,643,14
29,poor taste i think you know what happened next pie man emerged from behind the latenight library dropbox made his delivery and fled away crying ego sum non an bestia or at least thats what it said in my story in the newspaper the next day which ran with a photo of him leaving the,609,664,15
30,and fled away crying ego sum non an bestia or at least thats what it said in my story in the newspaper the next day which ran with a photo of him leaving the scene cape flowing behind him doing this and thats what made him a sensation on campus people started dressing like him,630,685,16
31,newspaper the next day which ran with a photo of him leaving the scene cape flowing behind him doing this and thats what made him a sensation on campus people started dressing like him and quoting him in class the ram ran five major stories about pie man all of them by me and toward,651,706,16
32,thats what made him a sensation on campus people started dressing like him and quoting him in class the ram ran five major stories about pie man all of them by me and toward the end of this run i was out at a bar one night and i saw i came and i saw,672,727,17
33,five major stories about pie man all of them by me and toward the end of this run i was out at a bar one night and i saw i came and i saw in the corner angela from my brit lit class drinking with some friends and now angela and i had been flirting,693,748,17
34,at a bar one night and i saw i came and i saw in the corner angela from my brit lit class drinking with some friends and now angela and i had been flirting for two months or i had been flirting with her and with such nuance that there was a question about whether,714,769,18
35,class drinking with some friends and now angela and i had been flirting for two months or i had been flirting with her and with such nuance that there was a question about whether she knew i existed so i i saw her there and made a mental note to do nothing about it and,735,790,19
36,with her and with such nuance that there was a question about whether she knew i existed so i i saw her there and made a mental note to do nothing about it and then i went to the bar to buy a round and i felt a tap on my shoulder and it was,756,811,19
37,her there and made a mental note to do nothing about it and then i went to the bar to buy a round and i felt a tap on my shoulder and it was her and she said jim we were just talking about how you always seem to know when and where pie man,777,832,20
38,a round and i felt a tap on my shoulder and it was her and she said jim we were just talking about how you always seem to know when and where pie man will strike and we were wondering are you pie man and i knew by the way she said it i knew,798,853,21
39,talking about how you always seem to know when and where pie man will strike and we were wondering are you pie man and i knew by the way she said it i knew that if i said yes she would have sex with me and wasnt i really pie man for having brought him,819,874,21
40,pie man and i knew by the way she said it i knew that if i said yes she would have sex with me and wasnt i really pie man for having brought him into being didnt she only know about him through me but she had asked me a straightforward question that came with,840,895,21
41,sex with me and wasnt i really pie man for having brought him into being didnt she only know about him through me but she had asked me a straightforward question that came with a straightforward answer in fact i wasnt pie man as far as i knew i had never seen the guy out,861,916,22
42,through me but she had asked me a straightforward question that came with a straightforward answer in fact i wasnt pie man as far as i knew i had never seen the guy out of costume so i looked at her and i said yes angela i am pie man and she said oh good,882,937,22
43,man as far as i knew i had never seen the guy out of costume so i looked at her and i said yes angela i am pie man and she said oh good now buy me a beer and tell me all about it,903,948,23
44,i said yes angela i am pie man and she said oh good now buy me a beer and tell me all about it,924,948,23
45,all about it,945,948,24
