window_idx,window_text,window_start,window_end,event
33,read that other letter joe she teased a little latermaybe he parried but this one and he fluttered the open sheet in his hand this one is from mr gregory manager of the pittston team with whom i have the honor to be associated and joe bowed low to his mother and sister mr gregory,693,748,13
34,in his hand this one is from mr gregory manager of the pittston team with whom i have the honor to be associated and joe bowed low to his mother and sister mr gregory gives me a bit of news it is nothing less than that the manager of the st louis nationals is negotiating,714,769,13
35,be associated and joe bowed low to his mother and sister mr gregory gives me a bit of news it is nothing less than that the manager of the st louis nationals is negotiating for the services of yours trulyyour humble servant joseph matson and again the young ball player bowed and laughed joe you,735,790,14
36,nothing less than that the manager of the st louis nationals is negotiating for the services of yours trulyyour humble servant joseph matson and again the young ball player bowed and laughed joe you dont mean it cried his sister youre going to belong to a major league team for clara was almost as ardent,756,811,14
37,joseph matson and again the young ball player bowed and laughed joe you dont mean it cried his sister youre going to belong to a major league team for clara was almost as ardent a baseball fan as was her brother well it looks like it sis replied joe slowly as he glanced at the,777,832,14
38,to belong to a major league team for clara was almost as ardent a baseball fan as was her brother well it looks like it sis replied joe slowly as he glanced at the letter again of course it isnt settled but mr gregory says im pretty sure to be drafted to st louis drafted,798,853,14
39,it looks like it sis replied joe slowly as he glanced at the letter again of course it isnt settled but mr gregory says im pretty sure to be drafted to st louis drafted exclaimed his mother that sounds like war times when they used to draft men to go to the front do you,819,874,14
40,mr gregory says im pretty sure to be drafted to st louis drafted exclaimed his mother that sounds like war times when they used to draft men to go to the front do you mean you havent any choice in the matter joe well that about it momsey the young man explained you see baseball,840,895,15
41,when they used to draft men to go to the front do you mean you havent any choice in the matter joe well that about it momsey the young man explained you see baseball is pretty well organized it has to be to make it the success it is he added frankly though lots of,861,916,15
42,joe well that about it momsey the young man explained you see baseball is pretty well organized it has to be to make it the success it is he added frankly though lots of people are opposed to the system but i havent been in it long enough to find fault even if i wanted,882,937,16
43,to make it the success it is he added frankly though lots of people are opposed to the system but i havent been in it long enough to find fault even if i wanted towhich i dont but it seems queer that you cant stay with the pittston team if you want to said mrs,903,958,16
44,havent been in it long enough to find fault even if i wanted towhich i dont but it seems queer that you cant stay with the pittston team if you want to said mrs matson i dont know as i want to spoke joe slowly especially when ill surely get more money with st louis,924,979,17
45,you cant stay with the pittston team if you want to said mrs matson i dont know as i want to spoke joe slowly especially when ill surely get more money with st louis besides having the honor of pitching for a major league team even if it isnt one of the topnotchers and a,945,1000,17
46,spoke joe slowly especially when ill surely get more money with st louis besides having the honor of pitching for a major league team even if it isnt one of the topnotchers and a pennant winner so if they want to draft me let them do their worst and he laughed showing his even white,966,1021,17
47,major league team even if it isnt one of the topnotchers and a pennant winner so if they want to draft me let them do their worst and he laughed showing his even white teeth you see he resumed when i signed a contract with the pittstons of the central league i gave them the,987,1042,18
48,me let them do their worst and he laughed showing his even white teeth you see he resumed when i signed a contract with the pittstons of the central league i gave them the right to control my services as long as i played baseball i had to agree not to go to any other,1008,1063,18
49,a contract with the pittstons of the central league i gave them the right to control my services as long as i played baseball i had to agree not to go to any other team without permission and in fact no other organized team would take me unless the pittston management released me i went,1029,1084,19
50,i played baseball i had to agree not to go to any other team without permission and in fact no other organized team would take me unless the pittston management released me i went into it with my eyes open and you see the pittston team being one of the small ones has to give,1050,1105,19
51,organized team would take me unless the pittston management released me i went into it with my eyes open and you see the pittston team being one of the small ones has to give way to a major league team that is any major league team like the st louis nationals can call for or,1071,1126,20
52,see the pittston team being one of the small ones has to give way to a major league team that is any major league team like the st louis nationals can call for or draft any player in a smaller team so if they call me ill have to go and ill be glad to,1092,1147,20
53,any major league team like the st louis nationals can call for or draft any player in a smaller team so if they call me ill have to go and ill be glad to ill get more money and fame that is i hope i will and joe spoke more soberly i know im not,1113,1168,21
54,if they call me ill have to go and ill be glad to ill get more money and fame that is i hope i will and joe spoke more soberly i know im not going to have any snap of it it going to be hard work from the word go for there will be,1134,1189,21
55,i hope i will and joe spoke more soberly i know im not going to have any snap of it it going to be hard work from the word go for there will be other pitchers on the st louis team and ill have to do my best to make a showing against them and,1155,1210,21
56,going to be hard work from the word go for there will be other pitchers on the st louis team and ill have to do my best to make a showing against them and i will too cried joe resolutely ill make good momsey i hope so my son she responded quietly you know i,1176,1231,21
57,ill have to do my best to make a showing against them and i will too cried joe resolutely ill make good momsey i hope so my son she responded quietly you know i was not much in favor of your taking up baseball for a living but i must say you have done well,1197,1252,22
58,good momsey i hope so my son she responded quietly you know i was not much in favor of your taking up baseball for a living but i must say you have done well at it and after all if one does one best at anything that is what counts so i hope you make,1218,1273,22
59,up baseball for a living but i must say you have done well at it and after all if one does one best at anything that is what counts so i hope you make good with the st louis teami suppose make good is the proper expression she added with a smile itll do firstrate,1239,1294,22
60,one best at anything that is what counts so i hope you make good with the st louis teami suppose make good is the proper expression she added with a smile itll do firstrate momsey laughed joe now let see what else gregory says he glanced over the letter again and remarked well there nothing,1260,1315,23
61,good is the proper expression she added with a smile itll do firstrate momsey laughed joe now let see what else gregory says he glanced over the letter again and remarked well there nothing definite the managers are laying their plans for the spring work and he says im being considered he adds he will,1281,1336,23
62,gregory says he glanced over the letter again and remarked well there nothing definite the managers are laying their plans for the spring work and he says im being considered he adds he will be sorry to lose me i should think he would be exclaimed clara a flush coming into her cheeks you were,1302,1357,23
63,the spring work and he says im being considered he adds he will be sorry to lose me i should think he would be exclaimed clara a flush coming into her cheeks you were the best pitcher on his team oh i wouldnt go as far as to say that cried joe though i appreciate,1323,1378,24
64,he would be exclaimed clara a flush coming into her cheeks you were the best pitcher on his team oh i wouldnt go as far as to say that cried joe though i appreciate your feeling sis i had a good bit of luck winning some of the games the way i did well i,1344,1399,24
65,wouldnt go as far as to say that cried joe though i appreciate your feeling sis i had a good bit of luck winning some of the games the way i did well i guess ill go look up some st louis records and see what im expected to do in the batting average line,1365,1420,25
66,of luck winning some of the games the way i did well i guess ill go look up some st louis records and see what im expected to do in the batting average line compared with them the player went on the st louis team isnt a wonder but it done pretty fair at times,1386,1441,25
67,records and see what im expected to do in the batting average line compared with them the player went on the st louis team isnt a wonder but it done pretty fair at times i believe and it a step up for me ill be more in line for a place on the new york,1407,1462,25
68,st louis team isnt a wonder but it done pretty fair at times i believe and it a step up for me ill be more in line for a place on the new york giants or the philadelphia athletics if i make a good showing in missouri finished joe he started from the room carrying,1428,1483,26
69,me ill be more in line for a place on the new york giants or the philadelphia athletics if i make a good showing in missouri finished joe he started from the room carrying the two letters one of which he had not yet opened who it from asked clara with a smile as she,1449,1504,26
70,a good showing in missouri finished joe he started from the room carrying the two letters one of which he had not yet opened who it from asked clara with a smile as she pointed to the heavy square envelope in his hand oh one of my many admirers teased joe i cant tell just,1470,1525,27
71,not yet opened who it from asked clara with a smile as she pointed to the heavy square envelope in his hand oh one of my many admirers teased joe i cant tell just which one until i open it and just to satisfy your curiosity ill do so now and he proceeded to slit,1491,1546,27
72,hand oh one of my many admirers teased joe i cant tell just which one until i open it and just to satisfy your curiosity ill do so now and he proceeded to slit the envelope with his pocketknife oh it from mabel varley he exclaimed just as if you didnt know all the while,1512,1567,27
73,to satisfy your curiosity ill do so now and he proceeded to slit the envelope with his pocketknife oh it from mabel varley he exclaimed just as if you didnt know all the while scoffed clara you wouldnt forget her handwriting so soon joe matson um he murmured noncommittally why this is news he cried,1533,1588,28
74,mabel varley he exclaimed just as if you didnt know all the while scoffed clara you wouldnt forget her handwriting so soon joe matson um he murmured noncommittally why this is news he cried suddenly mabel and her brother reggie are coming here here exclaimed clara to visit us oh no not that exactly joe,1554,1609,28
75,soon joe matson um he murmured noncommittally why this is news he cried suddenly mabel and her brother reggie are coming here here exclaimed clara to visit us oh no not that exactly joe went on theyre on a trip it seems and theyre going to stop off here for a day or so mabel,1575,1630,28
76,here here exclaimed clara to visit us oh no not that exactly joe went on theyre on a trip it seems and theyre going to stop off here for a day or so mabel says theyll try to see us i hope they will ive never met them observed clara no spoke joe musingly well,1596,1651,29
77,and theyre going to stop off here for a day or so mabel says theyll try to see us i hope they will ive never met them observed clara no spoke joe musingly well you may soon why he went on theyre coming todayon the afternoon express i must go down to the station to,1617,1672,29
78,they will ive never met them observed clara no spoke joe musingly well you may soon why he went on theyre coming todayon the afternoon express i must go down to the station to meet them though the train is likely to be late if this snow keeps up whew see it come down and,1638,1693,30
79,coming todayon the afternoon express i must go down to the station to meet them though the train is likely to be late if this snow keeps up whew see it come down and he went over to the window and looked out it like a small blizzard remarked clara and it seems to be,1659,1714,30
80,be late if this snow keeps up whew see it come down and he went over to the window and looked out it like a small blizzard remarked clara and it seems to be growing worse doesnt look much like baseball does it joe i should say not say i believe ill go down to,1680,1735,31
81,out it like a small blizzard remarked clara and it seems to be growing worse doesnt look much like baseball does it joe i should say not say i believe ill go down to the station anyhow and see what the prospects are want to come sis no thank you not in this storm where,1701,1756,31
82,it joe i should say not say i believe ill go down to the station anyhow and see what the prospects are want to come sis no thank you not in this storm where are the varleys going to stop at the hotel reggie has some business in town mabel writes well i sure will,1722,1777,31
83,are want to come sis no thank you not in this storm where are the varleys going to stop at the hotel reggie has some business in town mabel writes well i sure will be glad to see him again _him_ _her_ you mean laughed clara oh joe you _are_ so simple humph he exclaimed,1743,1798,32
84,hotel reggie has some business in town mabel writes well i sure will be glad to see him again _him_ _her_ you mean laughed clara oh joe you _are_ so simple humph he exclaimed as he put the two letters into his pocketboth of great importance to him well ill go down to the station,1764,1819,32
85,you mean laughed clara oh joe you _are_ so simple humph he exclaimed as he put the two letters into his pocketboth of great importance to him well ill go down to the station joe was soon trudging through the storm on the way to the depot the st louis cardinals he mused as he,1785,1840,32
86,pocketboth of great importance to him well ill go down to the station joe was soon trudging through the storm on the way to the depot the st louis cardinals he mused as he bent his head to the blast thinking of the letters in his pocket i didnt think id be in line for,1806,1861,33
87,the way to the depot the st louis cardinals he mused as he bent his head to the blast thinking of the letters in his pocket i didnt think id be in line for a major league team so soon i wonder if i can make good thinking alternately of the pleasure he would have,1827,1882,33
88,the letters in his pocket i didnt think id be in line for a major league team so soon i wonder if i can make good thinking alternately of the pleasure he would have in seeing miss mabel varley a girl in whom he was more than ordinarily interested and of the new chance that,1848,1903,33
89,if i can make good thinking alternately of the pleasure he would have in seeing miss mabel varley a girl in whom he was more than ordinarily interested and of the new chance that had come to him joe soon reached the depot his inquiries about the trains were not however very satisfactorily answered we,1869,1924,33
90,whom he was more than ordinarily interested and of the new chance that had come to him joe soon reached the depot his inquiries about the trains were not however very satisfactorily answered we cant tell much about them in this storm the station master said all our trains are more or less late stop,1890,1945,34
91,depot his inquiries about the trains were not however very satisfactorily answered we cant tell much about them in this storm the station master said all our trains are more or less late stop in this afternoon and i may have some definite information for you and later that day when it was nearly arrival,1911,1966,34
92,the station master said all our trains are more or less late stop in this afternoon and i may have some definite information for you and later that day when it was nearly arrival time for the train on which mabel and reggie were to come joe received some news that startled him there no,1932,1987,35
93,definite information for you and later that day when it was nearly arrival time for the train on which mabel and reggie were to come joe received some news that startled him there no use in your waiting joe said the station master as the young ball player approached him again your train wont be,1953,2008,35
94,reggie were to come joe received some news that startled him there no use in your waiting joe said the station master as the young ball player approached him again your train wont be in today and maybe not for several days why what the mattera wreck cried joe a vision of injured friends looming,1974,2029,36
95,master as the young ball player approached him again your train wont be in today and maybe not for several days why what the mattera wreck cried joe a vision of injured friends looming before him not exactly a wreck but almost as bad went on the official the train is stalledsnowed in at deep,1995,2050,36
96,why what the mattera wreck cried joe a vision of injured friends looming before him not exactly a wreck but almost as bad went on the official the train is stalledsnowed in at deep rock cut five miles above here and there no chance of getting her out great scott cried joe the express snowed,2016,2071,37
97,as bad went on the official the train is stalledsnowed in at deep rock cut five miles above here and there no chance of getting her out great scott cried joe the express snowed in why ive got friends on that train i wonder what i can do to help them,2037,2088,37
98,no chance of getting her out great scott cried joe the express snowed in why ive got friends on that train i wonder what i can do to help them,2058,2088,37
99,i wonder what i can do to help them,2079,2088,38
