recall_segment,story_segment,quality_score,summary
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","I pitch him my story, I tell him what I've seen, and he says, ""Dean McGowan, that guy's a dick. Write it up.""",0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","So I'm banging out my story and I know it's good, and then I start to make it better, by adding an element of embellishment.",0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","Reporters call this ""making shit up.""",0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""",And they recommend against crossing that line.,0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","But I had just seen the line crossed between a high-powered dean and assault with a pastry, and I kind of liked it.",0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""",So the first I did was I gave the figure a name.,0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","I called him ""Pie Man,"" capital ""P,"" capital ""M."" And I described him as a cape-wearing, masked avenger.",0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""",Though in fact he'd been capeless.,0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","And said that as he fled the scene, he clicked his heels in rakish glee.",0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""",And I gave him a catchphrase in Latin.,0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","I said that he cried out, ""Ego sum non an bestia,"" which means ""I am not an animal.""",0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""",Which makes no sense.,0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""",I needed something.,0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","I'm Catholic, Latin just comes to me.",0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","So I finish my story and I hand it to Dwyer, and he reads and he says, ""Pie Man? I love it. Page one.""",0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""",And that's how the first line got crossed.,0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","A few days later, I get a letter.",0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","It says, ""Dear Jim, good story. Nice details. If you want to see me again in action, be on the steps of Duane Library Tuesday at 3 o'clock,"" signed Pie Man.",0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""",So I was there with a photographer from the Ram.,0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","And sure enough, out comes Sheila Beale, student-body president.",0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""",And now Sheila was different from me and all the other Fordham students who wore flannel shirts and worked part-time jobs.,0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""",Sheila was well-bred.,0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""",Sheila had school spirit.,0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""",Sheila was the kind of student that Dean McGown wanted more of.,0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""",Although rumor had it that he got plenty of her in his office on his desk.,0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","But that's just a rumor, please do not spread it outside this rumor.",0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""",I myself would never say that.,0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","But the fact was, Sheila had collaborated with the Dean to ban outdoor drinking on campus.",0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","The infamous ""no more beer at barbecues"" rule.",0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","That's right, boo that rule.",0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""",Sheila thought drinking in public was in poor taste.,0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""",I think you know what happened next.,0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","Pie Man emerged from behind the late-night library drop-box, made his delivery, and fled away, crying, ""Ego sum non an bestia.""",0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","Or at least that's what it said in my story in the newspaper the next day, which ran with a photo of him leaving the scene, cape flowing behind him, doing this.",0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""",And that's what made him a sensation on campus.,0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""",People started dressing like him and quoting him in class.,0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","The Ram ran five major stories about Pie Man, all of them by me.",0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","And toward the end of this run, I was out at a bar one night, and I saw, I came and I saw in the corner Angela from my Brit Lit class, drinking with some friends.",0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""",And now Angela and I had been flirting for two months.,0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","Or I had been flirting with her, and with such nuance that there was a question about whether she knew I existed.",0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","So I, I saw her there and made a mental note to do nothing about it.",0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""",And then I went to the bar to buy a round and I felt a tap on my shoulder.,0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""",And it was her.,0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","And she said, ""Jim, we were just talking about how you always seem to know when and where Pie Man will strike. And we were wondering, are you Pie Man?""",0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","And I knew by the way she said it, I knew that if I said yes, she would have sex with me.",0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""",And wasn't I really Pie Man?,0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""",For having brought him into being.,0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""",Didn't she only know about him through me?,0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""",But she had asked me a straightforward question that came with a straightforward answer.,0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","In fact, I wasn't Pie Man.",0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","As far as I knew, I had never seen the guy out of costume.",0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","So I looked at her and I said, ""Yes, Angela. I am Pie Man.""",0,
"So, there's this guy, he goes to Fordham and he was in the college newspaper, and then he was walking outside and he saw the dean who was trying to raise the tuition up, and then he tried to talk to the dean, like interview the dean and ask him like, ""What do you think about the inflation thing, like raising the tuition?""","And she said, ""Oh, good. Now buy me a beer and tell me all about it.""",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","And one day I'm walking toward the campus center and out comes the elusive Dean McGowan, architect of a policy to replace Fordham's traditionally working- to middle-class students with wealthier, more prestigious ones.",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","So I whip out my notebook and I go up to him and I say, ""Dean McGowan, is it true that Fordham University plans to raise tuition substantially above the inflation rate, and if so, wouldn't that be a betrayal of its mission?""",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","And he stops and looks at me and he says, ""Listen up, punk.""",8,technically not verbatim but still (salient word thing)
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","And right then, there's a blur in the corner of my eye which becomes this figure holding a cream pie which becomes the guy standing next to me mashing a cream pie into Dean McGowan's face.",8,"weird bc it's just narrative devices missing, which seems an unfair standard"
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.",And then runs away.,0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.",And the Dean is covered with cream.,0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","So I give him a moment, and then I say, ""Dean McGowan, would you care to comment on this latest attack?""",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","And the Dean says, ""Yes, I would care to comment. Fuck you.""",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","So I race back to the newsroom with my scoop and I find the editor, Jim Dwyer, who's a senior, and he will go on to win a Pulitzer Prize, that is true, and he's a big guy.",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","I pitch him my story, I tell him what I've seen, and he says, ""Dean McGowan, that guy's a dick. Write it up.""",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","So I'm banging out my story and I know it's good, and then I start to make it better, by adding an element of embellishment.",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","Reporters call this ""making shit up.""",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.",And they recommend against crossing that line.,0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","But I had just seen the line crossed between a high-powered dean and assault with a pastry, and I kind of liked it.",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.",So the first I did was I gave the figure a name.,0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","I called him ""Pie Man,"" capital ""P,"" capital ""M."" And I described him as a cape-wearing, masked avenger.",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.",Though in fact he'd been capeless.,0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","And said that as he fled the scene, he clicked his heels in rakish glee.",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.",And I gave him a catchphrase in Latin.,0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","I said that he cried out, ""Ego sum non an bestia,"" which means ""I am not an animal.""",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.",Which makes no sense.,0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.",I needed something.,0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","I'm Catholic, Latin just comes to me.",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","So I finish my story and I hand it to Dwyer, and he reads and he says, ""Pie Man? I love it. Page one.""",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.",And that's how the first line got crossed.,0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","A few days later, I get a letter.",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","It says, ""Dear Jim, good story. Nice details. If you want to see me again in action, be on the steps of Duane Library Tuesday at 3 o'clock,"" signed Pie Man.",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.",So I was there with a photographer from the Ram.,0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","And sure enough, out comes Sheila Beale, student-body president.",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.",And now Sheila was different from me and all the other Fordham students who wore flannel shirts and worked part-time jobs.,0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.",Sheila was well-bred.,0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.",Sheila had school spirit.,0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.",Sheila was the kind of student that Dean McGown wanted more of.,0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.",Although rumor had it that he got plenty of her in his office on his desk.,0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","But that's just a rumor, please do not spread it outside this rumor.",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.",I myself would never say that.,0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","But the fact was, Sheila had collaborated with the Dean to ban outdoor drinking on campus.",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","The infamous ""no more beer at barbecues"" rule.",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","That's right, boo that rule.",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.",Sheila thought drinking in public was in poor taste.,0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.",I think you know what happened next.,0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","Pie Man emerged from behind the late-night library drop-box, made his delivery, and fled away, crying, ""Ego sum non an bestia.""",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","Or at least that's what it said in my story in the newspaper the next day, which ran with a photo of him leaving the scene, cape flowing behind him, doing this.",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.",And that's what made him a sensation on campus.,0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.",People started dressing like him and quoting him in class.,0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","The Ram ran five major stories about Pie Man, all of them by me.",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","And toward the end of this run, I was out at a bar one night, and I saw, I came and I saw in the corner Angela from my Brit Lit class, drinking with some friends.",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.",And now Angela and I had been flirting for two months.,0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","Or I had been flirting with her, and with such nuance that there was a question about whether she knew I existed.",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","So I, I saw her there and made a mental note to do nothing about it.",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.",And then I went to the bar to buy a round and I felt a tap on my shoulder.,0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.",And it was her.,0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","And she said, ""Jim, we were just talking about how you always seem to know when and where Pie Man will strike. And we were wondering, are you Pie Man?""",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","And I knew by the way she said it, I knew that if I said yes, she would have sex with me.",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.",And wasn't I really Pie Man?,0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.",For having brought him into being.,0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.",Didn't she only know about him through me?,0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.",But she had asked me a straightforward question that came with a straightforward answer.,0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","In fact, I wasn't Pie Man.",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","As far as I knew, I had never seen the guy out of costume.",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","So I looked at her and I said, ""Yes, Angela. I am Pie Man.""",0,
"Then the dean said, ""Listen, you punk,"" and then at that exact moment, this random guy has a cream pie and slams it across the dean's face.","And she said, ""Oh, good. Now buy me a beer and tell me all about it.""",0,
"Then cream is dripping off his face and the guy is like, ""Oh, what do you just think about this attack?""","I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0,
