recall_segment,story_segment,quality_score,summary
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.",And they recommend against crossing that line.,0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.","But I had just seen the line crossed between a high-powered dean and assault with a pastry, and I kind of liked it.",0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.",So the first I did was I gave the figure a name.,0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.","I called him ""Pie Man,"" capital ""P,"" capital ""M."" And I described him as a cape-wearing, masked avenger.",0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.",Though in fact he'd been capeless.,0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.","And said that as he fled the scene, he clicked his heels in rakish glee.",0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.",And I gave him a catchphrase in Latin.,0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.","I said that he cried out, ""Ego sum non an bestia,"" which means ""I am not an animal.""",0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.",Which makes no sense.,0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.",I needed something.,0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.","I'm Catholic, Latin just comes to me.",0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.","So I finish my story and I hand it to Dwyer, and he reads and he says, ""Pie Man? I love it. Page one.""",0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.",And that's how the first line got crossed.,0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.","A few days later, I get a letter.",0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.","It says, ""Dear Jim, good story. Nice details. If you want to see me again in action, be on the steps of Duane Library Tuesday at 3 o'clock,"" signed Pie Man.",0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.",So I was there with a photographer from the Ram.,0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.","And sure enough, out comes Sheila Beale, student-body president.",0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.",And now Sheila was different from me and all the other Fordham students who wore flannel shirts and worked part-time jobs.,0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.",Sheila was well-bred.,0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.",Sheila had school spirit.,0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.",Sheila was the kind of student that Dean McGown wanted more of.,0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.",Although rumor had it that he got plenty of her in his office on his desk.,0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.","But that's just a rumor, please do not spread it outside this rumor.",0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.",I myself would never say that.,0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.","But the fact was, Sheila had collaborated with the Dean to ban outdoor drinking on campus.",0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.","The infamous ""no more beer at barbecues"" rule.",0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.","That's right, boo that rule.",0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.",Sheila thought drinking in public was in poor taste.,0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.",I think you know what happened next.,0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.","Pie Man emerged from behind the late-night library drop-box, made his delivery, and fled away, crying, ""Ego sum non an bestia.""",0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.","Or at least that's what it said in my story in the newspaper the next day, which ran with a photo of him leaving the scene, cape flowing behind him, doing this.",0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.",And that's what made him a sensation on campus.,0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.",People started dressing like him and quoting him in class.,0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.","The Ram ran five major stories about Pie Man, all of them by me.",0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.","And toward the end of this run, I was out at a bar one night, and I saw, I came and I saw in the corner Angela from my Brit Lit class, drinking with some friends.",0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.",And now Angela and I had been flirting for two months.,0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.","Or I had been flirting with her, and with such nuance that there was a question about whether she knew I existed.",0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.","So I, I saw her there and made a mental note to do nothing about it.",0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.",And then I went to the bar to buy a round and I felt a tap on my shoulder.,0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.",And it was her.,0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.","And she said, ""Jim, we were just talking about how you always seem to know when and where Pie Man will strike. And we were wondering, are you Pie Man?""",0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.","And I knew by the way she said it, I knew that if I said yes, she would have sex with me.",0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.",And wasn't I really Pie Man?,0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.",For having brought him into being.,0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.",Didn't she only know about him through me?,0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.",But she had asked me a straightforward question that came with a straightforward answer.,0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.","In fact, I wasn't Pie Man.",0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.","As far as I knew, I had never seen the guy out of costume.",0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.","So I looked at her and I said, ""Yes, Angela. I am Pie Man.""",0,
"He is just walking down campus one day and he sees the dean of the school who had earlier – like, who had been going around trying to make changes to the demographic - socioeconomic demographic of students that attended the school by raising the tuition of the school to be greater than inflation rates, so that way, they would attract a - like a richer, wealthier demographic of students to attend the school.","And she said, ""Oh, good. Now buy me a beer and tell me all about it.""",0,
"And this guy who works for the paper see the dean and seizes his opportunity to say, ""Hey, don't you think that raising these tuitions and trying to change the kind of students that go to the school is like a moral and against the values that we have at the school?""","I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0,
